Name	Length	EffectiveLength	TPM	NumReads
gi|424037187|ref|NR_073460.1|	725	475.204	61341.602493	355.995
gi|424037186|ref|NR_073459.1|	746	474.204	0.872255	0.005
gi|209977002|ref|NM_001136213.1|	2037	1787.204	19242.726989	420.000
gi|52546690|ref|NM_001005239.1|	981	731.204	26204.067499	234.000
gi|51093856|ref|NM_014406.4|	2065	1801.204	20593.338354	453.000
gi|40445391|ref|NR_001591.1|	1483	1179.204	20276.143084	292.000
gi|338970360|ref|NR_040115.1|	1539	1289.204	21277.206390	335.000
gi|103471990|ref|NM_175878.3|	1700	1429.204	19937.764813	348.000
gi|151301122|ref|NR_003607.1|	1381	1131.204	17517.247711	242.000
gi|83716020|ref|NM_001037814.1|	2630	2380.204	18198.389447	529.000
gi|168229201|ref|NR_015352.1|	2726	2476.204	16401.619027	496.000
gi|411147377|ref|NM_014339.6|	8608	8358.204	14822.362877	1513.000
gi|251823729|ref|NM_001163079.1|	3979	3711.204	16581.575773	751.535
gi|251823728|ref|NM_031890.3|	5043	4775.204	18098.534971	1055.465
gi|51093854|ref|NM_017829.5|	1734	1484.204	16634.719205	301.521
gi|51093855|ref|NM_033070.2|	1809	1559.204	16515.058067	314.479
gi|213512664|ref|NR_024483.1|	650	375.204	28877.853913	132.325
gi|213512645|ref|NR_024482.1|	356	89.217	60276.199550	65.675
gi|29029551|ref|NM_177405.1|	3071	2821.204	19582.447291	674.699
gi|29029549|ref|NM_017424.2|	3947	3682.204	17729.888305	797.301
gi|345525396|ref|NR_038398.2|	1915	1665.204	23406.202639	476.000
gi|270132321|ref|NM_031413.3|	5760	5510.204	16851.433604	1134.000
gi|13899341|ref|NM_031481.1|	2087	1837.204	19877.828205	446.000
gi|87159815|ref|NM_001039366.1|	1340	1090.204	14479.613661	192.785
gi|87159817|ref|NM_001039367.1|	1316	1066.204	19098.241612	248.681
gi|87159814|ref|NM_001696.3|	1406	1156.204	22417.003951	316.534
gi|398707252|ref|NM_015367.3|	5132	4882.204	15366.054642	916.193
gi|398775379|ref|NM_001270731.1|	5062	4812.204	19530.299242	1147.787
gi|398775908|ref|NM_001270734.1|	4918	4668.204	13602.831650	775.510
gi|398775088|ref|NM_001270729.1|	4975	4725.204	22401.372209	1292.718
gi|398775598|ref|NM_001270732.1|	4905	4655.204	17227.519274	979.422
gi|398777064|ref|NM_001270735.1|	4761	4511.204	14417.059434	794.287
gi|398774965|ref|NM_001270728.1|	4797	4547.204	17809.412304	989.014
gi|398774578|ref|NM_001270726.1|	4961	4711.204	19076.861810	1097.608
gi|398774790|ref|NM_001270727.1|	4817	4567.204	16043.100731	894.844
gi|398775209|ref|NM_001270730.1|	4804	4554.204	16707.671972	929.259
gi|398776358|ref|NR_073068.1|	4730	4480.204	12872.327961	704.309
gi|398776655|ref|NR_073069.1|	4713	4463.204	19108.469586	1041.553
gi|398774358|ref|NM_001270733.1|	4347	4097.204	19135.515298	957.494
gi|347300409|ref|NM_001244567.1|	2128	1862.204	19654.771640	446.996
gi|347300417|ref|NM_001244570.1|	1936	1670.204	15658.639522	319.398
gi|347300412|ref|NM_197967.2|	2147	1881.204	26503.605700	608.905
gi|347300415|ref|NM_001244569.1|	2006	1740.204	18297.475521	388.866
gi|347300411|ref|NM_001196.3|	2217	1951.204	16326.324022	389.045
gi|347300422|ref|NM_001244572.1|	2254	1988.204	16331.874840	396.557
gi|347300421|ref|NM_197966.2|	2535	2269.204	16065.924149	445.233
gi|301171814|ref|NR_036168.1|	80	80.000	27635.368754	27.000
gi|209862788|ref|NM_015241.2|	9471	9192.204	16707.108551	1875.554
gi|170172517|ref|NM_001122731.1|	3384	3116.204	20847.173048	793.381
gi|209862792|ref|NM_001136004.1|	8091	7823.204	16433.296452	1570.066
