target_id	length	eff_length	est_counts	tpm
gi|424037187|ref|NR_073460.1|	725	476.743	276.991	31817.5
gi|424037186|ref|NR_073459.1|	746	497.743	0.0092665	1.01952
gi|209977002|ref|NM_001136213.1|	2037	1788.74	411	12582.9
gi|52546690|ref|NM_001005239.1|	981	732.743	236	17637.9
gi|51093856|ref|NM_014406.4|	2065	1816.74	416	12539.6
gi|40445391|ref|NR_001591.1|	1483	1234.74	294	13039.4
gi|338970360|ref|NR_040115.1|	1539	1290.74	317	13449.5
gi|103471990|ref|NM_175878.3|	1700	1451.74	310	11693.8
gi|151301122|ref|NR_003607.1|	1381	1132.74	309	14938.7
gi|83716020|ref|NM_001037814.1|	2630	2381.74	649	14922.3
gi|168229201|ref|NR_015352.1|	2726	2477.74	531	11736.1
gi|411147377|ref|NM_014339.6|	8608	8359.74	1663	10893.9
gi|251823729|ref|NM_001163079.1|	3979	3730.74	877.679	12883.3
gi|251823728|ref|NM_031890.3|	5043	4794.74	1114.32	12727.1
gi|51093854|ref|NM_017829.5|	1734	1485.74	320.774	11823.4
gi|51093855|ref|NM_033070.2|	1809	1560.74	416.226	14604.4
gi|213512664|ref|NR_024483.1|	650	401.743	151.008	20584.3
gi|213512645|ref|NR_024482.1|	356	107.743	43.9924	22360
gi|29029551|ref|NM_177405.1|	3071	2822.74	635.009	12319.5
gi|29029549|ref|NM_017424.2|	3947	3698.74	723.991	10719.3
gi|345525396|ref|NR_038398.2|	1915	1666.74	430	14128.1
gi|270132321|ref|NM_031413.3|	5760	5511.74	1132	11247.2
gi|13899341|ref|NM_031481.1|	2087	1838.74	431	12836.4
gi|87159815|ref|NM_001039366.1|	1340	1091.74	240.374	12057.4
gi|87159817|ref|NM_001039367.1|	1316	1067.74	273.437	14024.1
gi|87159814|ref|NM_001696.3|	1406	1157.74	336.189	15902.2
gi|398707252|ref|NM_015367.3|	5132	4883.74	2269.26	25445.8
gi|398775379|ref|NM_001270731.1|	5062	4813.74	959.521	10915.8
gi|398775908|ref|NM_001270734.1|	4918	4669.74	522.037	6122.01
gi|398775088|ref|NM_001270729.1|	4975	4726.74	1056.3	12238
gi|398775598|ref|NM_001270732.1|	4905	4656.74	914.836	10758.4
gi|398777064|ref|NM_001270735.1|	4761	4512.74	687.236	8339.71
gi|398774965|ref|NM_001270728.1|	4797	4548.74	705.221	8490.23
gi|398774578|ref|NM_001270726.1|	4961	4712.74	818.173	9507.29
gi|398774790|ref|NM_001270727.1|	4817	4568.74	832.036	9973.12
gi|398775209|ref|NM_001270730.1|	4804	4555.74	719.137	8644.47
gi|398776358|ref|NR_073068.1|	4730	4481.74	1029.87	12584
gi|398776655|ref|NR_073069.1|	4713	4464.74	942.501	11560.3
gi|398774358|ref|NM_001270733.1|	4347	4098.74	946.875	12651.1
gi|347300409|ref|NM_001244567.1|	2128	1879.74	206.406	6013.25
gi|347300417|ref|NM_001244570.1|	1936	1687.74	488.527	15851.4
gi|347300412|ref|NM_197967.2|	2147	1898.74	498.431	14375.6
gi|347300415|ref|NM_001244569.1|	2006	1757.74	335.471	10451.6
gi|347300411|ref|NM_001196.3|	2217	1968.74	542.146	15080.4
gi|347300422|ref|NM_001244572.1|	2254	2005.74	429.286	11720.8
gi|347300421|ref|NM_197966.2|	2535	2286.74	457.732	10961.7
gi|301171814|ref|NR_036168.1|	80	4.4375	30	370227
gi|209862788|ref|NM_015241.2|	9471	9222.74	2004.98	11905.2
gi|170172517|ref|NM_001122731.1|	3384	3135.74	630.749	11015.4
gi|209862792|ref|NM_001136004.1|	8091	7842.74	1675.27	11697.8
