target_id	length	eff_length	est_counts	tpm
gi|424037187|ref|NR_073460.1|	725	476.352	271.991	44636.1
gi|424037186|ref|NR_073459.1|	746	497.352	0.00932825	1.46621
gi|209977002|ref|NM_001136213.1|	2037	1788.35	404	17659.9
gi|52546690|ref|NM_001005239.1|	981	732.352	169	18039.6
gi|51093856|ref|NM_014406.4|	2065	1816.35	448	19281.4
gi|40445391|ref|NR_001591.1|	1483	1234.35	290	18366.2
gi|338970360|ref|NR_040115.1|	1539	1290.35	302	18296.1
gi|103471990|ref|NM_175878.3|	1700	1451.35	307	16535.8
gi|151301122|ref|NR_003607.1|	1381	1132.35	254	17535.3
gi|83716020|ref|NM_001037814.1|	2630	2381.35	537	17628.3
gi|168229201|ref|NR_015352.1|	2726	2477.35	539	17008.3
gi|411147377|ref|NM_014339.6|	8608	8359.35	1786	16702
gi|251823729|ref|NM_001163079.1|	3979	3730.35	675.357	14152.8
gi|251823728|ref|NM_031890.3|	5043	4794.35	1112.64	18142
gi|51093854|ref|NM_017829.5|	1734	1485.35	364.746	19196.5
gi|51093855|ref|NM_033070.2|	1809	1560.35	356.254	17848.3
gi|213512664|ref|NR_024483.1|	650	401.352	141.978	27653.8
gi|213512645|ref|NR_024482.1|	356	107.352	47.0223	34241.7
gi|29029551|ref|NM_177405.1|	3071	2822.35	620.221	17178.9
gi|29029549|ref|NM_017424.2|	3947	3698.35	810.779	17137.8
gi|345525396|ref|NR_038398.2|	1915	1666.35	408	19140.5
gi|270132321|ref|NM_031413.3|	5760	5511.35	1154	16368.4
gi|13899341|ref|NM_031481.1|	2087	1838.35	432	18370.2
gi|87159815|ref|NM_001039366.1|	1340	1091.35	200.373	14352.7
gi|87159817|ref|NM_001039367.1|	1316	1067.35	196.268	14374.8
gi|87159814|ref|NM_001696.3|	1406	1157.35	425.36	28731
gi|398707252|ref|NM_015367.3|	5132	4883.35	1799.29	28803.4
gi|398775379|ref|NM_001270731.1|	5062	4813.35	1268.23	20597.4
gi|398775908|ref|NM_001270734.1|	4918	4669.35	568.572	9518.93
gi|398775088|ref|NM_001270729.1|	4975	4726.35	958.015	15845.5
gi|398775598|ref|NM_001270732.1|	4905	4656.35	906.628	15221
gi|398777064|ref|NM_001270735.1|	4761	4512.35	690.373	11960.3
gi|398774965|ref|NM_001270728.1|	4797	4548.35	802.188	13787.4
gi|398774578|ref|NM_001270726.1|	4961	4712.35	1190.34	19746.6
gi|398774790|ref|NM_001270727.1|	4817	4568.35	701.585	12005.5
gi|398775209|ref|NM_001270730.1|	4804	4555.35	557.626	9569.32
gi|398776358|ref|NR_073068.1|	4730	4481.35	1008.79	17597.6
gi|398776655|ref|NR_073069.1|	4713	4464.35	899.966	15759
gi|398774358|ref|NM_001270733.1|	4347	4098.35	1109.39	21160.9
gi|347300409|ref|NM_001244567.1|	2128	1879.35	213.215	8868.9
gi|347300417|ref|NM_001244570.1|	1936	1687.35	433.966	20105.3
gi|347300412|ref|NM_197967.2|	2147	1898.35	428.702	17653.8
gi|347300415|ref|NM_001244569.1|	2006	1757.35	311.972	13877.7
gi|347300411|ref|NM_001196.3|	2217	1968.35	593.35	23565
gi|347300422|ref|NM_001244572.1|	2254	2005.35	305.089	11893.1
gi|347300421|ref|NM_197966.2|	2535	2286.35	748.706	25599.3
gi|301171814|ref|NR_036168.1|	80	9.9	15	118445
gi|209862788|ref|NM_015241.2|	9471	9222.35	1909.36	16184.8
gi|170172517|ref|NM_001122731.1|	3384	3135.35	709.153	17681.3
gi|209862792|ref|NM_001136004.1|	8091	7842.35	1602.48	15973.7
